legacy_id,sample_quantity,source,reason
bitrix24:114:16616,6,verified_nxm,"6 positions × 1 each"
bitrix24:114:16718,10,verified_nxm,"2 positions × 5 each"
bitrix24:114:16832,21,verified_nxm,"7 positions × 3 each"
bitrix24:114:16914,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:17028,4,verified_nxm,"4 positions × 1 each"
bitrix24:114:17208,21,verified_nxm,"7 positions × 3 each"
bitrix24:114:17446,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:17546,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:17778,45,verified_nxm,"9 positions × 5 each"
bitrix24:114:17812,4,verified_nxm,"4 positions × 1 each"
bitrix24:114:18442,2,verified_nxm,"2 positions × 1 each"
bitrix24:114:19058,6,verified_nxm,"6 positions × 1 each"
bitrix24:114:19726,6,verified_nxm,"6 positions × 1 each"
